SoftReset kind:function(thumb,size=0x4) addr:0x200007e
func_020a0480 kind:function(arm,size=0x20) addr:0x20a0480
func_020a04a0 kind:function(arm,size=0xa8) addr:0x20a04a0
func_020a0548 kind:function(arm,size=0x70) addr:0x20a0548
func_020a05b8 kind:function(arm,size=0x80) addr:0x20a05b8
func_020a0638 kind:function(arm,size=0x80) addr:0x20a0638
func_020a06b8 kind:function(arm,size=0x34) addr:0x20a06b8
func_020a06ec kind:function(arm,size=0x24) addr:0x20a06ec
func_020a0710 kind:function(arm,size=0x24) addr:0x20a0710
func_020a0734 kind:function(arm,size=0x14) addr:0x20a0734
func_020a0748 kind:function(arm,size=0x14) addr:0x20a0748
func_020a075c kind:function(arm,size=0x28) addr:0x20a075c
func_020a0784 kind:function(arm,size=0x28) addr:0x20a0784
func_020a07ac kind:function(arm,size=0xe0) addr:0x20a07ac
func_020a088c kind:function(arm,size=0x14) addr:0x20a088c
func_020a08a0 kind:function(arm,size=0x14) addr:0x20a08a0
func_020a08b4 kind:function(arm,size=0x24) addr:0x20a08b4
func_020a08d8 kind:function(arm,size=0x24) addr:0x20a08d8
func_020a08fc kind:function(arm,size=0x14) addr:0x20a08fc
func_020a0910 kind:function(arm,size=0x14) addr:0x20a0910
func_020a0924 kind:function(arm,size=0x14) addr:0x20a0924
func_020a0938 kind:function(arm,size=0x14) addr:0x20a0938
func_020a094c kind:function(arm,size=0x14) addr:0x20a094c
func_020a0960 kind:function(arm,size=0x14) addr:0x20a0960
func_020a0974 kind:function(arm,size=0x14) addr:0x20a0974
func_020a0988 kind:function(arm,size=0x28) addr:0x20a0988
func_020a09b0 kind:function(arm,size=0x28) addr:0x20a09b0
func_020a09d8 kind:function(arm,size=0x54) addr:0x20a09d8
func_020a0a2c kind:function(arm,size=0x18) addr:0x20a0a2c
func_020a0a44 kind:function(arm,size=0x18) addr:0x20a0a44
func_020a0a5c kind:function(arm,size=0x34) addr:0x20a0a5c
func_020a0a90 kind:function(arm,size=0x20) addr:0x20a0a90
func_020a0ab0 kind:function(arm,size=0x34) addr:0x20a0ab0
func_020a0ae4 kind:function(arm,size=0x20) addr:0x20a0ae4
func_020a0b04 kind:function(arm,size=0x84) addr:0x20a0b04
func_020a0b88 kind:function(arm,size=0x84) addr:0x20a0b88
func_020a0c0c kind:function(arm,size=0x34) addr:0x20a0c0c
func_020a0c40 kind:function(arm,size=0x20) addr:0x20a0c40
func_020a0c60 kind:function(arm,size=0x34) addr:0x20a0c60
func_020a0c94 kind:function(arm,size=0x20) addr:0x20a0c94
func_020a0cb4 kind:function(arm,size=0x50) addr:0x20a0cb4
func_020a0d04 kind:function(arm,size=0x58) addr:0x20a0d04
func_020a0d5c kind:function(arm,size=0x28) addr:0x20a0d5c
func_020a0d84 kind:function(arm,size=0x44) addr:0x20a0d84
func_020a0dc8 kind:function(arm,size=0x24) addr:0x20a0dc8
func_020a0dec kind:function(arm,size=0x1c) addr:0x20a0dec
func_020a0e08 kind:function(arm,size=0x24) addr:0x20a0e08
func_020a0e2c kind:function(arm,size=0x5c) addr:0x20a0e2c
func_020a0e88 kind:function(arm,size=0x44) addr:0x20a0e88
func_020a0ecc kind:function(arm,size=0x3c) addr:0x20a0ecc
func_020a0f08 kind:function(arm,size=0x34) addr:0x20a0f08
func_020a0f3c kind:function(arm,size=0x38) addr:0x20a0f3c
func_020a0f74 kind:function(arm,size=0x24) addr:0x20a0f74
func_020a0f98 kind:function(arm,size=0x20) addr:0x20a0f98
func_020a0fb8 kind:function(arm,size=0x1c) addr:0x20a0fb8
func_020a0fd4 kind:function(arm,size=0x1c) addr:0x20a0fd4
func_020a0ff0 kind:function(arm,size=0x1c) addr:0x20a0ff0
func_020a100c kind:function(arm,size=0x1c) addr:0x20a100c
func_020a1028 kind:function(arm,size=0x10c) addr:0x20a1028
func_020a1134 kind:function(arm,size=0x6c) addr:0x20a1134
func_020a11a0 kind:function(arm,size=0x28) addr:0x20a11a0
func_020a11c8 kind:function(arm,size=0x98) addr:0x20a11c8
func_020a1260 kind:function(arm,size=0x90) addr:0x20a1260
func_020a12f0 kind:function(arm,size=0x30) addr:0x20a12f0
func_020a1320 kind:function(arm,size=0x30) addr:0x20a1320
func_020a1350 kind:function(arm,size=0x28) addr:0x20a1350
func_020a1378 kind:function(arm,size=0xa0) addr:0x20a1378
func_020a1418 kind:function(arm,size=0x30) addr:0x20a1418
func_020a1448 kind:function(arm,size=0x30) addr:0x20a1448
func_020a1478 kind:function(arm,size=0x10) addr:0x20a1478
func_020a1488 kind:function(arm,size=0x94) addr:0x20a1488
func_020a151c kind:function(arm,size=0x64) addr:0x20a151c
func_020a1580 kind:function(arm,size=0x4c) addr:0x20a1580
func_020a15cc kind:function(arm,size=0x54) addr:0x20a15cc
func_020a1620 kind:function(arm,size=0x58) addr:0x20a1620
func_020a1678 kind:function(arm,size=0x58) addr:0x20a1678
func_020a16d0 kind:function(arm,size=0x58) addr:0x20a16d0
func_020a1728 kind:function(arm,size=0x54) addr:0x20a1728
func_020a177c kind:function(arm,size=0x58) addr:0x20a177c
func_020a17d4 kind:function(arm,size=0x58) addr:0x20a17d4
func_020a182c kind:function(arm,size=0x58) addr:0x20a182c
func_020a1884 kind:function(arm,size=0x60) addr:0x20a1884
func_020a18e4 kind:function(arm,size=0x60) addr:0x20a18e4
func_020a1944 kind:function(arm,size=0x60) addr:0x20a1944
func_020a19a4 kind:function(arm,size=0x60) addr:0x20a19a4
func_020a1a04 kind:function(arm,size=0x60) addr:0x20a1a04
func_020a1a64 kind:function(arm,size=0x60) addr:0x20a1a64
func_020a1ac4 kind:function(arm,size=0x60) addr:0x20a1ac4
func_020a1b24 kind:function(arm,size=0x60) addr:0x20a1b24
func_020a1b84 kind:function(arm,size=0x60) addr:0x20a1b84
func_020a1be4 kind:function(arm,size=0x60) addr:0x20a1be4
func_020a1c44 kind:function(arm,size=0x60) addr:0x20a1c44
func_020a1ca4 kind:function(arm,size=0xa0) addr:0x20a1ca4
func_020a1d44 kind:function(arm,size=0x70) addr:0x20a1d44
func_020a1db4 kind:function(arm,size=0x48) addr:0x20a1db4
func_020a1dfc kind:function(arm,size=0x48) addr:0x20a1dfc
func_020a1e44 kind:function(arm,size=0x6c) addr:0x20a1e44
func_020a1eb0 kind:function(arm,size=0x44) addr:0x20a1eb0
func_020a1ef4 kind:function(arm,size=0x18) addr:0x20a1ef4
func_020a1f0c kind:function(arm,size=0x64) addr:0x20a1f0c
func_020a1f70 kind:function(arm,size=0x40) addr:0x20a1f70
func_020a1fb0 kind:function(arm,size=0x18) addr:0x20a1fb0
func_020a1fc8 kind:function(arm,size=0x64) addr:0x20a1fc8
func_020a202c kind:function(arm,size=0x40) addr:0x20a202c
func_020a206c kind:function(arm,size=0x5c) addr:0x20a206c
func_020a20c8 kind:function(arm,size=0x140) addr:0x20a20c8
func_020a2208 kind:function(arm,size=0x4c) addr:0x20a2208
func_020a2254 kind:function(arm,size=0x34) addr:0x20a2254
func_020a2288 kind:function(arm,size=0x6c) addr:0x20a2288
func_020a22f4 kind:function(arm,size=0x44) addr:0x20a22f4
func_020a2338 kind:function(arm,size=0x20) addr:0x20a2338
func_020a2358 kind:function(arm,size=0xac) addr:0x20a2358
func_020a2404 kind:function(arm,size=0x24) addr:0x20a2404
func_020a2428 kind:function(arm,size=0x1c) addr:0x20a2428
func_020a2444 kind:function(arm,size=0x74) addr:0x20a2444
func_020a24b8 kind:function(arm,size=0x4) addr:0x20a24b8
func_020a24bc kind:function(arm,size=0x88) addr:0x20a24bc
func_020a2544 kind:function(arm,size=0x10) addr:0x20a2544
func_020a2554 kind:function(arm,size=0x10) addr:0x20a2554
func_020a2564 kind:function(arm,size=0x10) addr:0x20a2564
func_020a2574 kind:function(arm,size=0x10) addr:0x20a2574
func_020a2584 kind:function(arm,size=0x10) addr:0x20a2584
func_020a2594 kind:function(arm,size=0x10) addr:0x20a2594
func_020a25a4 kind:function(arm,size=0x10) addr:0x20a25a4
func_020a25b4 kind:function(arm,size=0x10) addr:0x20a25b4
func_020a25c4 kind:function(arm,size=0x18) addr:0x20a25c4
func_020a25dc kind:function(arm,size=0x88) addr:0x20a25dc
func_020a2664 kind:function(arm,size=0x8c) addr:0x20a2664
func_020a26f0 kind:function(arm,size=0x48) addr:0x20a26f0
func_020a2738 kind:function(arm,size=0x48) addr:0x20a2738
func_020a2780 kind:function(arm,size=0x2c) addr:0x20a2780
func_020a27ac kind:function(arm,size=0x30) addr:0x20a27ac
func_020a27dc kind:function(arm,size=0x30) addr:0x20a27dc
func_020a280c kind:function(arm,size=0x2c) addr:0x20a280c
func_020a2838 kind:function(arm,size=0x34) addr:0x20a2838
func_020a286c kind:function(arm,size=0xcc) addr:0x20a286c
func_020a2938 kind:function(arm,size=0x4c) addr:0x20a2938
func_020a2984 kind:function(arm,size=0x10) addr:0x20a2984
func_020a2994 kind:function(arm,size=0x74) addr:0x20a2994
func_020a2a08 kind:function(arm,size=0x10) addr:0x20a2a08
func_020a2a18 kind:function(arm,size=0x6c) addr:0x20a2a18
func_020a2a84 kind:function(arm,size=0x20) addr:0x20a2a84
func_020a2aa4 kind:function(arm,size=0xc) addr:0x20a2aa4
func_020a2ab0 kind:function(arm,size=0x20) addr:0x20a2ab0
func_020a2ad0 kind:function(arm,size=0x18) addr:0x20a2ad0
func_020a2ae8 kind:function(arm,size=0x18) addr:0x20a2ae8
func_020a2b00 kind:function(arm,size=0x1c) addr:0x20a2b00
func_020a2b1c kind:function(arm,size=0x1c) addr:0x20a2b1c
func_020a2b38 kind:function(arm,size=0x18) addr:0x20a2b38
func_020a2b50 kind:function(arm,size=0x18) addr:0x20a2b50
func_020a2b68 kind:function(arm,size=0x8) addr:0x20a2b68
func_020a2b70 kind:function(arm,size=0x58) addr:0x20a2b70
func_020a2bc8 kind:function(arm,size=0x30) addr:0x20a2bc8
func_020a2bf8 kind:function(arm,size=0x28) addr:0x20a2bf8
func_020a2c20 kind:function(arm,size=0x18) addr:0x20a2c20
func_020a2c38 kind:function(arm,size=0x28) addr:0x20a2c38
func_020a2c60 kind:function(arm,size=0xc) addr:0x20a2c60
func_020a2c6c kind:function(arm,size=0x18) addr:0x20a2c6c
func_020a2c84 kind:function(arm,size=0x78) addr:0x20a2c84
func_020a2cfc kind:function(arm,size=0x34) addr:0x20a2cfc
func_020a2d30 kind:function(arm,size=0x54) addr:0x20a2d30
func_020a2d84 kind:function(arm,size=0x30) addr:0x20a2d84
func_020a2db4 kind:function(arm,size=0x60) addr:0x20a2db4
func_020a2e14 kind:function(arm,size=0x48) addr:0x20a2e14
func_020a2e5c kind:function(arm,size=0xc8) addr:0x20a2e5c
func_020a2f24 kind:function(arm,size=0x14c) addr:0x20a2f24
func_020a3070 kind:function(arm,size=0x10) addr:0x20a3070
func_020a3080 kind:function(arm,size=0xfc) addr:0x20a3080
func_020a317c kind:function(arm,size=0x20) addr:0x20a317c
func_020a319c kind:function(arm,size=0x5c) addr:0x20a319c
func_020a31f8 kind:function(arm,size=0x38) addr:0x20a31f8
func_020a3230 kind:function(arm,size=0x5c) addr:0x20a3230
func_020a328c kind:function(arm,size=0x7c) addr:0x20a328c
func_020a3308 kind:function(arm,size=0x18) addr:0x20a3308
func_020a3320 kind:function(arm,size=0x30) addr:0x20a3320
func_020a3350 kind:function(arm,size=0x14) addr:0x20a3350
func_020a3364 kind:function(arm,size=0x50) addr:0x20a3364
func_020a33b4 kind:function(arm,size=0x68) addr:0x20a33b4
func_020a341c kind:function(arm,size=0x28) addr:0x20a341c
func_020a3444 kind:function(arm,size=0x28) addr:0x20a3444
func_020a346c kind:function(arm,size=0x1c) addr:0x20a346c
func_020a3488 kind:function(arm,size=0xb8) addr:0x20a3488
func_020a3540 kind:function(arm,size=0xa8) addr:0x20a3540
func_020a35e8 kind:function(arm,size=0x8) addr:0x20a35e8
func_020a35f0 kind:function(arm,size=0x9c) addr:0x20a35f0
func_020a368c kind:function(arm,size=0x20) addr:0x20a368c
func_020a36ac kind:function(arm,size=0x28) addr:0x20a36ac
func_020a36d4 kind:function(arm,size=0x10) addr:0x20a36d4
func_020a36e4 kind:function(arm,size=0x34) addr:0x20a36e4
func_020a3718 kind:function(arm,size=0x34) addr:0x20a3718
func_020a374c kind:function(arm,size=0x8) addr:0x20a374c
func_020a3754 kind:function(arm,size=0x8) addr:0x20a3754
func_020a375c kind:function(arm,size=0x8) addr:0x20a375c
func_020a3764 kind:function(arm,size=0x6c) addr:0x20a3764
func_020a37d0 kind:function(arm,size=0x4c) addr:0x20a37d0
func_020a381c kind:function(arm,size=0x44) addr:0x20a381c
func_020a3860 kind:function(arm,size=0x8) addr:0x20a3860
func_020a3868 kind:function(arm,size=0x18) addr:0x20a3868
func_020a3880 kind:function(arm,size=0x28) addr:0x20a3880
func_020a38a8 kind:function(arm,size=0x94) addr:0x20a38a8
func_020a393c kind:function(arm,size=0xa4) addr:0x20a393c
func_020a39e0 kind:function(arm,size=0x9c) addr:0x20a39e0
func_020a3a7c kind:function(arm,size=0x7c) addr:0x20a3a7c
func_020a3af8 kind:function(arm,size=0x18) addr:0x20a3af8
func_020a3b10 kind:function(arm,size=0x84) addr:0x20a3b10
func_020a3b94 kind:function(arm,size=0x5c) addr:0x20a3b94
func_020a3bf0 kind:function(arm,size=0x3c) addr:0x20a3bf0
func_020a3c2c kind:function(arm,size=0x74) addr:0x20a3c2c
func_020a3ca0 kind:function(arm,size=0x24) addr:0x20a3ca0
func_020a3cc4 kind:function(arm,size=0x24) addr:0x20a3cc4
func_020a3ce8 kind:function(arm,size=0xc) addr:0x20a3ce8
func_020a3cf4 kind:function(arm,size=0x2c) addr:0x20a3cf4
func_020a3d20 kind:function(arm,size=0x34) addr:0x20a3d20
func_020a3d54 kind:function(arm,size=0x1c) addr:0x20a3d54
func_020a3d70 kind:function(arm,size=0x1c) addr:0x20a3d70
func_020a3d8c kind:function(arm,size=0x24) addr:0x20a3d8c
func_020a3db0 kind:function(arm,size=0xc) addr:0x20a3db0
func_020a3dbc kind:function(arm,size=0xc) addr:0x20a3dbc
func_020a3dc8 kind:function(arm,size=0x1c) addr:0x20a3dc8
func_020a3de4 kind:function(arm,size=0x20) addr:0x20a3de4
func_020a3e04 kind:function(arm,size=0x48) addr:0x20a3e04
func_020a3e4c kind:function(arm,size=0x104) addr:0x20a3e4c
func_020a3f50 kind:function(arm,size=0x6c) addr:0x20a3f50
func_020a3fbc kind:function(arm,size=0x14) addr:0x20a3fbc
func_020a3fd0 kind:function(arm,size=0x14) addr:0x20a3fd0
func_020a3fe4 kind:function(arm,size=0xe4) addr:0x20a3fe4
func_020a40c8 kind:function(arm,size=0xa8) addr:0x20a40c8
func_020a4170 kind:function(arm,size=0x14) addr:0x20a4170
func_020a4184 kind:function(arm,size=0x14) addr:0x20a4184
func_020a4198 kind:function(arm,size=0x10) addr:0x20a4198
func_020a41a8 kind:function(arm,size=0x10) addr:0x20a41a8
func_020a41b8 kind:function(arm,size=0x14) addr:0x20a41b8
func_020a41cc kind:function(arm,size=0x10) addr:0x20a41cc
func_020a41dc kind:function(arm,size=0x10) addr:0x20a41dc
func_020a41ec kind:function(arm,size=0x14) addr:0x20a41ec
func_020a4200 kind:function(arm,size=0x8) addr:0x20a4200
func_020a4208 kind:function(arm,size=0x8) addr:0x20a4208
func_020a4210 kind:function(arm,size=0x70) addr:0x20a4210
func_020a4280 kind:function(arm,size=0x74) addr:0x20a4280
func_020a42f4 kind:function(arm,size=0x14) addr:0x20a42f4
func_020a4308 kind:function(arm,size=0x90) addr:0x20a4308
func_020a4398 kind:function(arm,size=0x7c) addr:0x20a4398
func_020a4414 kind:function(arm,size=0x1c) addr:0x20a4414
func_020a4430 kind:function(arm,size=0x78) addr:0x20a4430
func_020a44a8 kind:function(arm,size=0x10) addr:0x20a44a8
func_020a44b8 kind:function(arm,size=0x68) addr:0x20a44b8
func_020a4520 kind:function(arm,size=0xa0) addr:0x20a4520
func_020a45c0 kind:function(arm,size=0x10) addr:0x20a45c0
func_020a45d0 kind:function(arm,size=0x8c) addr:0x20a45d0
func_020a465c kind:function(arm,size=0x40) addr:0x20a465c
func_020a469c kind:function(arm,size=0x10) addr:0x20a469c
func_020a46ac kind:function(arm,size=0x10) addr:0x20a46ac
func_020a46bc kind:function(arm,size=0x12c) addr:0x20a46bc
func_020a47e8 kind:function(arm,size=0x6c) addr:0x20a47e8
func_020a4854 kind:function(arm,size=0x88) addr:0x20a4854
func_020a48dc kind:function(arm,size=0x10) addr:0x20a48dc
func_020a48ec kind:function(arm,size=0xf0) addr:0x20a48ec
func_020a49dc kind:function(arm,size=0x48) addr:0x20a49dc
func_020a4a24 kind:function(arm,size=0x14) addr:0x20a4a24
func_020a4a38 kind:function(arm,size=0x14) addr:0x20a4a38
func_020a4a4c kind:function(arm,size=0x18) addr:0x20a4a4c
func_020a4a64 kind:function(arm,size=0x14) addr:0x20a4a64
func_020a4a78 kind:function(arm,size=0x18) addr:0x20a4a78
func_020a4a90 kind:function(arm,size=0xc) addr:0x20a4a90
func_020a4a9c kind:function(arm,size=0xc) addr:0x20a4a9c
func_020a4aa8 kind:function(arm,size=0xc) addr:0x20a4aa8
func_020a4ab4 kind:function(arm,size=0x1c) addr:0x20a4ab4
func_020a4ad0 kind:function(arm,size=0x54) addr:0x20a4ad0
func_020a4b24 kind:function(arm,size=0x34) addr:0x20a4b24
func_020a4b58 kind:function(arm,size=0x2c) addr:0x20a4b58
func_020a4b84 kind:function(arm,size=0xbc) addr:0x20a4b84
func_020a4c40 kind:function(arm,size=0x1c) addr:0x20a4c40
func_020a4c5c kind:function(arm,size=0x84) addr:0x20a4c5c
func_020a4ce0 kind:function(arm,size=0x8) addr:0x20a4ce0
func_020a4ce8 kind:function(arm,size=0x34) addr:0x20a4ce8
func_020a4d1c kind:function(arm,size=0x88) addr:0x20a4d1c
func_020a4da4 kind:function(arm,size=0xd0) addr:0x20a4da4
func_020a4e74 kind:function(arm,size=0x10) addr:0x20a4e74
func_020a4e84 kind:function(arm,size=0xc) addr:0x20a4e84
func_020a4e90 kind:function(arm,size=0x10) addr:0x20a4e90
func_020a4ea0 kind:function(arm,size=0x80) addr:0x20a4ea0
func_020a4f20 kind:function(arm,size=0x70) addr:0x20a4f20
func_020a4f90 kind:function(arm,size=0x6c) addr:0x20a4f90
func_020a4ffc kind:function(arm,size=0xc4) addr:0x20a4ffc
func_020a50c0 kind:function(arm,size=0x98) addr:0x20a50c0
func_020a5158 kind:function(arm,size=0x68) addr:0x20a5158
func_020a51c0 kind:function(arm,size=0x7c) addr:0x20a51c0
func_020a523c kind:function(arm,size=0x84) addr:0x20a523c
func_020a52c0 kind:function(arm,size=0x54) addr:0x20a52c0
func_020a5314 kind:function(arm,size=0x60) addr:0x20a5314
func_020a5374 kind:function(arm,size=0x60) addr:0x20a5374
func_020a53d4 kind:function(arm,size=0xf8) addr:0x20a53d4
func_020a54cc kind:function(arm,size=0xac) addr:0x20a54cc
func_020a5578 kind:function(arm,size=0x60) addr:0x20a5578
func_020a55d8 kind:function(arm,size=0xb8) addr:0x20a55d8
func_020a5690 kind:function(arm,size=0x2c) addr:0x20a5690
func_020a56bc kind:function(arm,size=0x18) addr:0x20a56bc
func_020a56d4 kind:function(arm,size=0x1c) addr:0x20a56d4
func_020a56f0 kind:function(arm,size=0x14) addr:0x20a56f0
func_020a5704 kind:function(arm,size=0x18) addr:0x20a5704
func_020a571c kind:function(arm,size=0x18) addr:0x20a571c
func_020a5734 kind:function(arm,size=0x4c) addr:0x20a5734
func_020a5780 kind:function(arm,size=0x38) addr:0x20a5780
func_020a57b8 kind:function(arm,size=0x1c) addr:0x20a57b8
func_020a57d4 kind:function(arm,size=0x24) addr:0x20a57d4
func_020a57f8 kind:function(arm,size=0x2c) addr:0x20a57f8
func_020a5824 kind:function(arm,size=0x94) addr:0x20a5824
func_020a58b8 kind:function(arm,size=0x130) addr:0x20a58b8
func_020a59e8 kind:function(thumb,size=0x10) addr:0x20a59e8
func_020a59f8 kind:function(arm,size=0x8) addr:0x20a59f8
func_020a5a00 kind:function(arm,size=0xe0) addr:0x20a5a00
func_020a5ae0 kind:function(arm,size=0x124) addr:0x20a5ae0
func_020a5c04 kind:function(arm,size=0xd8) addr:0x20a5c04
func_020a5cdc kind:function(arm,size=0x6c) addr:0x20a5cdc
func_020a5d48 kind:function(thumb,size=0x68) addr:0x20a5d48
func_020a5db0 kind:function(arm,size=0x74) addr:0x20a5db0
func_020a5e24 kind:function(arm,size=0x18) addr:0x20a5e24
func_020a5e3c kind:function(arm,size=0x20) addr:0x20a5e3c
func_020a5e5c kind:function(arm,size=0x28) addr:0x20a5e5c
func_020a5e84 kind:function(arm,size=0x20) addr:0x20a5e84
func_020a5ea4 kind:function(arm,size=0x20) addr:0x20a5ea4
func_020a5ec4 kind:function(arm,size=0x18) addr:0x20a5ec4
func_020a5edc kind:function(arm,size=0x18) addr:0x20a5edc
func_020a5ef4 kind:function(arm,size=0x1c) addr:0x20a5ef4
func_020a5f10 kind:function(arm,size=0x1c) addr:0x20a5f10
func_020a5f2c kind:function(arm,size=0x28) addr:0x20a5f2c
func_020a5f54 kind:function(arm,size=0x28) addr:0x20a5f54
func_020a5f7c kind:function(arm,size=0x64) addr:0x20a5f7c
func_020a5fe0 kind:function(arm,size=0x40) addr:0x20a5fe0
func_020a6020 kind:function(arm,size=0x40) addr:0x20a6020
func_020a6060 kind:function(arm,size=0x20) addr:0x20a6060
func_020a6080 kind:function(arm,size=0x20) addr:0x20a6080
func_020a60a0 kind:function(arm,size=0x28) addr:0x20a60a0
func_020a60c8 kind:function(arm,size=0x20) addr:0x20a60c8
func_020a60e8 kind:function(arm,size=0x4c) addr:0x20a60e8
func_020a6134 kind:function(arm,size=0x20) addr:0x20a6134
func_020a6154 kind:function(arm,size=0x20) addr:0x20a6154
func_020a6174 kind:function(arm,size=0x20) addr:0x20a6174
func_020a6194 kind:function(arm,size=0x28) addr:0x20a6194
func_020a61bc kind:function(arm,size=0x20) addr:0x20a61bc
func_020a61dc kind:function(arm,size=0x20) addr:0x20a61dc
func_020a61fc kind:function(arm,size=0x28) addr:0x20a61fc
func_020a6224 kind:function(arm,size=0x28) addr:0x20a6224
func_020a624c kind:function(arm,size=0x20) addr:0x20a624c
func_020a626c kind:function(arm,size=0x44) addr:0x20a626c
func_020a62b0 kind:function(arm,size=0x38) addr:0x20a62b0
func_020a62e8 kind:function(arm,size=0x14) addr:0x20a62e8
func_020a62fc kind:function(arm,size=0x14) addr:0x20a62fc
func_020a6310 kind:function(arm,size=0xd4) addr:0x20a6310
func_020a63e4 kind:function(arm,size=0x110) addr:0x20a63e4
func_020a64f4 kind:function(arm,size=0x88) addr:0x20a64f4
func_020a657c kind:function(arm,size=0x38) addr:0x20a657c
func_020a65b4 kind:function(arm,size=0x1bc) addr:0x20a65b4
func_020a6770 kind:function(arm,size=0x6c) addr:0x20a6770
func_020a67dc kind:function(arm,size=0x2c) addr:0x20a67dc
func_020a6808 kind:function(arm,size=0x50) addr:0x20a6808
func_020a6858 kind:function(arm,size=0x3c) addr:0x20a6858
func_020a6894 kind:function(arm,size=0x3c) addr:0x20a6894
func_020a68d0 kind:function(arm,size=0x1c) addr:0x20a68d0
func_020a68ec kind:function(arm,size=0x24) addr:0x20a68ec
func_020a6910 kind:function(arm,size=0x60) addr:0x20a6910
func_020a6970 kind:function(arm,size=0x28) addr:0x20a6970
func_020a6998 kind:function(arm,size=0x48) addr:0x20a6998
func_020a69e0 kind:function(arm,size=0x40) addr:0x20a69e0
func_020a6a20 kind:function(arm,size=0x30) addr:0x20a6a20
func_020a6a50 kind:function(arm,size=0x20) addr:0x20a6a50
func_020a6a70 kind:function(arm,size=0x30) addr:0x20a6a70
func_020a6aa0 kind:function(arm,size=0x44) addr:0x20a6aa0
func_020a6ae4 kind:function(arm,size=0x2c) addr:0x20a6ae4
func_020a6b10 kind:function(arm,size=0x28) addr:0x20a6b10
func_020a6b38 kind:function(arm,size=0x7c) addr:0x20a6b38
func_020a6bb4 kind:function(arm,size=0x70) addr:0x20a6bb4
func_020a6c24 kind:function(arm,size=0xcc) addr:0x20a6c24
func_020a6cf0 kind:function(arm,size=0x98) addr:0x20a6cf0
func_020a6d88 kind:function(arm,size=0x48) addr:0x20a6d88
func_020a6dd0 kind:function(arm,size=0x20) addr:0x20a6dd0
func_020a6df0 kind:function(arm,size=0x1b0) addr:0x20a6df0
func_020a6fa0 kind:function(arm,size=0x8) addr:0x20a6fa0
func_020a6fa8 kind:function(arm,size=0x34) addr:0x20a6fa8
func_020a6fdc kind:function(arm,size=0x3c) addr:0x20a6fdc
func_020a7018 kind:function(arm,size=0xc) addr:0x20a7018
func_020a7024 kind:function(arm,size=0x100) addr:0x20a7024
func_020a7124 kind:function(arm,size=0x4c) addr:0x20a7124
func_020a7170 kind:function(arm,size=0x24) addr:0x20a7170
func_020a7194 kind:function(arm,size=0x88) addr:0x20a7194
func_020a721c kind:function(arm,size=0x118) addr:0x20a721c
func_020a7334 kind:function(arm,size=0x5c) addr:0x20a7334
func_020a7390 kind:function(arm,size=0x190) addr:0x20a7390
func_020a7520 kind:function(arm,size=0x50) addr:0x20a7520
func_020a7570 kind:function(arm,size=0xc0) addr:0x20a7570
func_020a7630 kind:function(arm,size=0x34) addr:0x20a7630
func_020a7664 kind:function(arm,size=0x2c) addr:0x20a7664
func_020a7690 kind:function(arm,size=0x2c) addr:0x20a7690
func_020a76bc kind:function(arm,size=0x98) addr:0x20a76bc
func_020a7754 kind:function(arm,size=0x12c) addr:0x20a7754
func_020a7880 kind:function(arm,size=0x1e4) addr:0x20a7880
func_020a7a64 kind:function(arm,size=0x3ac) addr:0x20a7a64
func_020a7e10 kind:function(arm,size=0x80) addr:0x20a7e10
func_020a7e90 kind:function(arm,size=0x28) addr:0x20a7e90
func_020a7eb8 kind:function(arm,size=0x8) addr:0x20a7eb8
func_020a7ec0 kind:function(arm,size=0x58) addr:0x20a7ec0
func_020a7f18 kind:function(arm,size=0x1c) addr:0x20a7f18
func_020a7f34 kind:function(arm,size=0x20) addr:0x20a7f34
func_020a7f54 kind:function(arm,size=0x18) addr:0x20a7f54
func_020a7f6c kind:function(arm,size=0x214) addr:0x20a7f6c
func_020a8180 kind:function(arm,size=0x94) addr:0x20a8180
func_020a8214 kind:function(arm,size=0x44) addr:0x20a8214
func_020a8258 kind:function(arm,size=0x1a4) addr:0x20a8258
func_020a83fc kind:function(arm,size=0x2c) addr:0x20a83fc
func_020a8428 kind:function(arm,size=0x40) addr:0x20a8428
func_020a8468 kind:function(arm,size=0xb4) addr:0x20a8468
func_020a851c kind:function(arm,size=0x84) addr:0x20a851c
func_020a85a0 kind:function(arm,size=0x70) addr:0x20a85a0
func_020a8610 kind:function(arm,size=0xc0) addr:0x20a8610
func_020a86d0 kind:function(arm,size=0x124) addr:0x20a86d0
func_020a87f4 kind:function(arm,size=0x8c) addr:0x20a87f4
func_020a8880 kind:function(arm,size=0x9c) addr:0x20a8880
func_020a891c kind:function(arm,size=0x70) addr:0x20a891c
func_020a898c kind:function(arm,size=0x20) addr:0x20a898c
func_020a89ac kind:function(arm,size=0x84) addr:0x20a89ac
func_020a8a30 kind:function(arm,size=0x28) addr:0x20a8a30
func_020a8a58 kind:function(arm,size=0x28) addr:0x20a8a58
func_020a8a80 kind:function(arm,size=0x144) addr:0x20a8a80
func_020a8bc4 kind:function(arm,size=0x7c) addr:0x20a8bc4
func_020a8c40 kind:function(arm,size=0x40) addr:0x20a8c40
func_020a8c80 kind:function(arm,size=0x48) addr:0x20a8c80
func_020a8cc8 kind:function(arm,size=0x70) addr:0x20a8cc8
func_020a8d38 kind:function(arm,size=0x48) addr:0x20a8d38
